Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
5-clear-showerhead-ash-catcher,5″ CLEAR SHOWERHEAD ASH CATCHER,"<div class=""wc-tab-inner wd-entry-content"">
													

<p class="""" data-pm-slice=""1 1 []"">5” Glass Ash Catcher</p>
<p class="""">Clear Can Style</p>
<p class="""">Showerhead Perc</p>
<p class="""">Please contact us for current availability</p>
											</div>
<!-- WYN_METADATA
Categories_URL=https://wyndistribution.com/best-selling-products/, https://wyndistribution.com/product-category/essentials-and-accessories/, https://wyndistribution.com/product-category/essentials-and-accessories/ash-catchers/
URL=https://wyndistribution.com/wyn-shop/product/5-clear-showerhead-ash-catcher/
Product_URL=https://wyndistribution.com/wyn-shop/product/5-clear-showerhead-ash-catcher/
Category=ESSENTIALS & ACCESSORIES
Category_URL=https://wyndistribution.com/product-category/essentials-and-accessories/
Categories=Category: Ash Catchers
RawPrice=$10.00
VariantsRaw=Size					 									 			 			 				 				14 M 45°  							,  				14 M 90°  							,  				18 M 90°
-->",What You Need,,Essentials & Accessories,"source:wyn, category:ash-catchers, wyn_category:essentials-accessories",true,Size,14 M 45°,,,,,,,,EC-A5-Clear-14M45,0.0,,deny,manual,10.00,,true,true,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/Clear-Showerhead-Ash-Catcher-Display.png,1,5″ CLEAR SHOWERHEAD ASH CATCHER,false,5″ CLEAR SHOWERHEAD ASH CATCHER,5” Glass Ash Catcher Clear Can Style Showerhead Perc Please contact us for current availability,,,,,,,,,,,,,,,,lb,,20.00,active
5-clear-showerhead-ash-catcher,,,,,,,,,14 M 90°,,,,,,,,EC-A5-Clear-14M90,0.0,,deny,manual,10.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,20.00,
5-clear-showerhead-ash-catcher,,,,,,,,,18 M 90°,,,,,,,,EC-A5-Clear-18M90,0.0,,deny,manual,10.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,20.00,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/14-M-45%C2%B0-Clear-Showerhead-Ash-Catcher.png,2,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/14-M-90%C2%B0-Clear-Showerhead-Ash-Catcher.png,3,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/18-M-90%C2%B0-Clear-Showerhead-Ash-Catcher.png,4,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/EC-A5-Clear-14M90-14mm.png,5,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/EC-A5-Clear-14M90-Ash-Catcher.png,6,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/EC-A5-Clear-14M90-Clear.png,7,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/EC-A5-Clear-14M90-SH.png,8,,,,,,,,,,,,,,,,,,,,,,,
5-clear-showerhead-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/EC-A5-Clear-14M90-Showerhead.png,9,,,,,,,,,,,,,,,,,,,,,,,
5-clear-barrel-ash-catcher,5″ CLEAR BARREL ASH CATCHER,"<div class=""wc-tab-inner wd-entry-content"">
													

<p class="""" data-pm-slice=""1 1 []"">5” Glass Ash Catcher</p>
<p class="""">Clear Can Style</p>
<p class="""">Barrel Perc</p>
<p class="""">Please contact us for current availability</p>
											</div>
<!-- WYN_METADATA
Categories_URL=https://wyndistribution.com/best-selling-products/, https://wyndistribution.com/product-category/essentials-and-accessories/, https://wyndistribution.com/product-category/essentials-and-accessories/ash-catchers/
URL=https://wyndistribution.com/wyn-shop/product/5-clear-barrel-ash-catcher/
Product_URL=https://wyndistribution.com/wyn-shop/product/5-clear-barrel-ash-catcher/
Category=ESSENTIALS & ACCESSORIES
Category_URL=https://wyndistribution.com/product-category/essentials-and-accessories/
Categories=Category: Ash Catchers
RawPrice=$12.50
VariantsRaw=Size					 									 			 			 				 				14 M 45°  							,  				14 M 90°  							,  				18 M 90°
-->",What You Need,,Essentials & Accessories,"source:wyn, category:ash-catchers, wyn_category:essentials-accessories",true,Size,14 M 45°,,,,,,,,5CLEARBARRELASHCATCHER-14M45,0.0,,deny,manual,12.50,,true,true,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/18-M-90%C2%B0-Barrel-Ash-Catcher.png,1,5″ CLEAR BARREL ASH CATCHER,false,5″ CLEAR BARREL ASH CATCHER,5” Glass Ash Catcher Clear Can Style Barrel Perc Please contact us for current availability,,,,,,,,,,,,,,,,lb,,25.00,active
5-clear-barrel-ash-catcher,,,,,,,,,14 M 90°,,,,,,,,5CLEARBARRELASHCATCHER-14M90,0.0,,deny,manual,12.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,25.00,
5-clear-barrel-ash-catcher,,,,,,,,,18 M 90°,,,,,,,,5CLEARBARRELASHCATCHER-18M90,0.0,,deny,manual,12.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,25.00,
5-clear-barrel-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/IMG_0481.2.2-scaled-150x100.png,2,,,,,,,,,,,,,,,,,,,,,,,
5-clear-barrel-ash-catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wyndistribution.com/wp-content/uploads/2023/06/14-M-45%C2%B0-Barrel-Ash-Catcher-14mm.png,3,,,,,,,,,,,,,,,,,,,,,,,
